"Province_ID","Province"
"1","Mpumalanga"
"2","North West"
"3","Gauteng"
"4","Western Cape"
"5","Eastern Cape"
"6","Northern Cape"
"7","Free State"
"8","Kwazulu Natal"
"9","Limpopo"
