"Power_plant","Province","_Date_commissioned__planned__","_Capacity_MW__planned__","_Annual_output_GWh__expected__","Capacity_factor____expected_","Status","Coordinates","Operator"
"Klipheuwel Wind Farm","Western Cape, (Klipheuwel)","2002","3.16","4","15 (20–26)","Decommissioned (Prototype/Research)","33°41′43″S 18°43′30″E","Eskom"
"Sere Wind Farm","Western Cape, (Koekenaap)","Jan 2015
(October 2013)","100.0","-233","-27","Operational","31°29′49″S 18°3′48″E","Eskom"
